Tweets,Label,Tokenization,Stop_Removal,Normalisasi,Stemming
tidak cocok orang indonesia dengan konsep karens diner  ,0,"['tidak', 'cocok', 'orang', 'indonesia', 'dengan', 'konsep', 'karens', 'diner', '']","['cocok', 'orang', 'indonesia', 'konsep', 'karens', 'diner', '']","['cocok', 'orang', 'indonesia', 'konsep', 'karens', 'diner', '']","['cocok', 'orang', 'indonesia', 'konsep', 'karens', 'diner', '']"
ke karens diner conten creator bikin video upload,1,"['ke', 'karens', 'diner', 'conten', 'creator', 'bikin', 'video', 'upload']","['karens', 'diner', 'conten', 'creator', 'bikin', 'video', 'upload']","['karens', 'diner', 'conten', 'creator', 'bikin', 'video', 'upload']","['karens', 'diner', 'conten', 'creator', 'bikin', 'video', 'upload']"
karens diner belum rasa didatangi organisasi masyarakat minta uang keamanan ,0,"['karens', 'diner', 'belum', 'rasa', 'didatangi', 'organisasi', 'masyarakat', 'minta', 'uang', 'keamanan', '']","['karens', 'diner', 'didatangi', 'organisasi', 'masyarakat', 'uang', 'keamanan', '']","['karens', 'diner', 'didatangi', 'organisasi', 'masyarakat', 'uang', 'keamanan', '']","['karens', 'diner', 'datang', 'organisasi', 'masyarakat', 'uang', 'aman', '']"
karens diner bukan tidak cocok di indonesia netizen lebih kesal konsep tidak begitu,0,"['karens', 'diner', 'bukan', 'tidak', 'cocok', 'di', 'indonesia', 'netizen', 'lebih', 'kesal', 'konsep', 'tidak', 'begitu']","['karens', 'diner', 'cocok', 'indonesia', 'netizen', 'kesal', 'konsep']","['karens', 'diner', 'cocok', 'indonesia', 'netizen', 'kesal', 'konsep']","['karens', 'diner', 'cocok', 'indonesia', 'netizen', 'kesal', 'konsep']"
fachrul ke karens diner pelayan yang kena kritik,0,"['fachrul', 'ke', 'karens', 'diner', 'pelayan', 'yang', 'kena', 'kritik']","['fachrul', 'karens', 'diner', 'pelayan', 'kena', 'kritik']","['fachrul', 'karens', 'diner', 'pelayan', 'kena', 'kritik']","['fachrul', 'karens', 'diner', 'layan', 'kena', 'kritik']"
ide konten seleb tiktok datang ke karens diner mengamalkan falsafah jawa,1,"['ide', 'konten', 'seleb', 'tiktok', 'datang', 'ke', 'karens', 'diner', 'mengamalkan', 'falsafah', 'jawa']","['ide', 'konten', 'seleb', 'tiktok', 'karens', 'diner', 'mengamalkan', 'falsafah', 'jawa']","['ide', 'konten', 'seleb', 'tiktok', 'karens', 'diner', 'mengamalkan', 'falsafah', 'jawa']","['ide', 'konten', 'seleb', 'tiktok', 'karens', 'diner', 'amal', 'falsafah', 'jawa']"
yang cocok jadi karyawan karens diner anak-anak mimpi,1,"['yang', 'cocok', 'jadi', 'karyawan', 'karens', 'diner', 'anak', 'anak', 'mimpi']","['cocok', 'karyawan', 'karens', 'diner', 'anak', 'anak', 'mimpi']","['cocok', 'karyawan', 'karens', 'diner', 'anak', 'anak', 'mimpi']","['cocok', 'karyawan', 'karens', 'diner', 'anak', 'anak', 'mimpi']"
teman aku jadi pelayan karens diner,1,"['teman', 'aku', 'jadi', 'pelayan', 'karens', 'diner']","['teman', 'pelayan', 'karens', 'diner']","['teman', 'pelayan', 'karens', 'diner']","['teman', 'layan', 'karens', 'diner']"
kakak dan ibu administrasi akademik cocok jadi pelayan karens diner    ,1,"['kakak', 'dan', 'ibu', 'administrasi', 'akademik', 'cocok', 'jadi', 'pelayan', 'karens', 'diner', '']","['kakak', 'administrasi', 'akademik', 'cocok', 'pelayan', 'karens', 'diner', '']","['kakak', 'administrasi', 'akademik', 'cocok', 'pelayan', 'karens', 'diner', '']","['kakak', 'administrasi', 'akademik', 'cocok', 'layan', 'karens', 'diner', '']"
aku mau ngelamar kerja paruh waktu karens diner teman bilang aku cocok kerja disana ,1,"['aku', 'mau', 'ngelamar', 'kerja', 'paruh', 'waktu', 'karens', 'diner', 'teman', 'bilang', 'aku', 'cocok', 'kerja', 'disana', '']","['ngelamar', 'kerja', 'paruh', 'karens', 'diner', 'teman', 'bilang', 'cocok', 'kerja', 'disana', '']","['ngelamar', 'kerja', 'paruh', 'karens', 'diner', 'teman', 'bilang', 'cocok', 'kerja', 'disana', '']","['ngelamar', 'kerja', 'paruh', 'karens', 'diner', 'teman', 'bilang', 'cocok', 'kerja', 'sana', '']"
intip pegawai karens diner marah,0,"['intip', 'pegawai', 'karens', 'diner', 'marah']","['intip', 'pegawai', 'karens', 'diner', 'marah']","['intip', 'pegawai', 'karens', 'diner', 'marah']","['intip', 'pegawai', 'karens', 'diner', 'marah']"
sudah cocok jadi pelayan karens diner,1,"['sudah', 'cocok', 'jadi', 'pelayan', 'karens', 'diner']","['cocok', 'pelayan', 'karens', 'diner']","['cocok', 'pelayan', 'karens', 'diner']","['cocok', 'layan', 'karens', 'diner']"
karens diner jakarta belajar sama tukang siomay kalimalang dan jimmy hendrix ,1,"['karens', 'diner', 'jakarta', 'belajar', 'sama', 'tukang', 'siomay', 'kalimalang', 'dan', 'jimmy', 'hendrix', '']","['karens', 'diner', 'jakarta', 'belajar', 'tukang', 'siomay', 'kalimalang', 'jimmy', 'hendrix', '']","['karens', 'diner', 'jakarta', 'belajar', 'tukang', 'siomay', 'kalimalang', 'jimmy', 'hendrix', '']","['karens', 'diner', 'jakarta', 'ajar', 'tukang', 'siomay', 'kalimalang', 'jimmy', 'hendrix', '']"
review menu karens diner jakarta restoran viral pelayan pemarah dan kasar  ,0,"['review', 'menu', 'karens', 'diner', 'jakarta', 'restoran', 'viral', 'pelayan', 'pemarah', 'dan', 'kasar', '']","['review', 'menu', 'karens', 'diner', 'jakarta', 'restoran', 'viral', 'pelayan', 'pemarah', 'kasar', '']","['review', 'menu', 'karens', 'diner', 'jakarta', 'restoran', 'viral', 'pelayan', 'pemarah', 'kasar', '']","['review', 'menu', 'karens', 'diner', 'jakarta', 'restoran', 'viral', 'layan', 'marah', 'kasar', '']"
kalau hantu sini maju tapi kalau bilang muka aku kayak pantat panci aku marah,0,"['kalau', 'hantu', 'sini', 'maju', 'tapi', 'kalau', 'bilang', 'muka', 'aku', 'kayak', 'pantat', 'panci', 'aku', 'marah']","['hantu', 'maju', 'bilang', 'muka', 'kayak', 'pantat', 'panci', 'marah']","['hantu', 'maju', 'bilang', 'muka', 'kayak', 'pantat', 'panci', 'marah']","['hantu', 'maju', 'bilang', 'muka', 'kayak', 'pantat', 'panci', 'marah']"
segini harga makan burger di karens diner  ,1,"['segini', 'harga', 'makan', 'burger', 'di', 'karens', 'diner', '']","['segini', 'harga', 'makan', 'burger', 'karens', 'diner', '']","['segini', 'harga', 'makan', 'burger', 'karens', 'diner', '']","['gin', 'harga', 'makan', 'burger', 'karens', 'diner', '']"
tidak perlu repot ke karens diner cukup tinggal di medan,1,"['tidak', 'perlu', 'repot', 'ke', 'karens', 'diner', 'cukup', 'tinggal', 'di', 'medan']","['repot', 'karens', 'diner', 'tinggal', 'medan']","['repot', 'karens', 'diner', 'tinggal', 'medan']","['repot', 'karens', 'diner', 'tinggal', 'medan']"
karens diner ada di jalan kalimantan,1,"['karens', 'diner', 'ada', 'di', 'jalan', 'kalimantan']","['karens', 'diner', 'jalan', 'kalimantan']","['karens', 'diner', 'jalan', 'kalimantan']","['karens', 'diner', 'jalan', 'kalimantan']"
karyawan adiksi cocok kerja di karens diner ,1,"['karyawan', 'adiksi', 'cocok', 'kerja', 'di', 'karens', 'diner', '']","['karyawan', 'adiksi', 'cocok', 'kerja', 'karens', 'diner', '']","['karyawan', 'adiksi', 'cocok', 'kerja', 'karens', 'diner', '']","['karyawan', 'adiksi', 'cocok', 'kerja', 'karens', 'diner', '']"
karens diner tidak percaya diri mendengar mulut kamu ,0,"['karens', 'diner', 'tidak', 'percaya', 'diri', 'mendengar', 'mulut', 'kamu', '']","['karens', 'diner', 'percaya', 'mendengar', 'mulut', '']","['karens', 'diner', 'percaya', 'mendengar', 'mulut', '']","['karens', 'diner', 'percaya', 'dengar', 'mulut', '']"
karyawan karens diner saat nama di reservasi didahului oleh kritikan,0,"['karyawan', 'karens', 'diner', 'saat', 'nama', 'di', 'reservasi', 'didahului', 'oleh', 'kritikan']","['karyawan', 'karens', 'diner', 'nama', 'reservasi', 'didahului', 'kritikan']","['karyawan', 'karens', 'diner', 'nama', 'reservasi', 'didahului', 'kritikan']","['karyawan', 'karens', 'diner', 'nama', 'reservasi', 'dahulu', 'kritik']"
 fuji utami jadi pelayan restoran karens diner cocok mimik wajah,1,"['', 'fuji', 'utami', 'jadi', 'pelayan', 'restoran', 'karens', 'diner', 'cocok', 'mimik', 'wajah']","['', 'fuji', 'utami', 'pelayan', 'restoran', 'karens', 'diner', 'cocok', 'mimik', 'wajah']","['', 'fuji', 'utami', 'pelayan', 'restoran', 'karens', 'diner', 'cocok', 'mimik', 'wajah']","['', 'fuji', 'utami', 'layan', 'restoran', 'karens', 'diner', 'cocok', 'mimik', 'wajah']"
perspektif aku memang indira drama pemilik karens diner bersyukur ,1,"['perspektif', 'aku', 'memang', 'indira', 'drama', 'pemilik', 'karens', 'diner', 'bersyukur', '']","['perspektif', 'indira', 'drama', 'pemilik', 'karens', 'diner', 'bersyukur', '']","['perspektif', 'indira', 'drama', 'pemilik', 'karens', 'diner', 'bersyukur', '']","['perspektif', 'indira', 'drama', 'milik', 'karens', 'diner', 'syukur', '']"
orang indonesia baperan chat terlambat dua menit mikir berlebih nggak cocok ke karens diner  ,0,"['orang', 'indonesia', 'baperan', 'chat', 'terlambat', 'dua', 'menit', 'mikir', 'berlebih', 'nggak', 'cocok', 'ke', 'karens', 'diner', '']","['orang', 'indonesia', 'baperan', 'chat', 'terlambat', 'menit', 'mikir', 'berlebih', 'nggak', 'cocok', 'karens', 'diner', '']","['orang', 'indonesia', 'baperan', 'chat', 'terlambat', 'menit', 'mikir', 'berlebih', 'nggak', 'cocok', 'karens', 'diner', '']","['orang', 'indonesia', 'baperan', 'chat', 'lambat', 'menit', 'mikir', 'lebih', 'nggak', 'cocok', 'karens', 'diner', '']"
baru karens diner yang mantap,1,"['baru', 'karens', 'diner', 'yang', 'mantap']","['karens', 'diner', 'mantap']","['karens', 'diner', 'mantap']","['karens', 'diner', 'mantap']"
kemaren lihat tiktok konten karens diner dari pelanggan,1,"['kemaren', 'lihat', 'tiktok', 'konten', 'karens', 'diner', 'dari', 'pelanggan']","['kemaren', 'lihat', 'tiktok', 'konten', 'karens', 'diner', 'pelanggan']","['kemaren', 'lihat', 'tiktok', 'konten', 'karens', 'diner', 'pelanggan']","['kemaren', 'lihat', 'tiktok', 'konten', 'karens', 'diner', 'langgan']"
bahan penelitian untuk karens diner sesungguhnya ,1,"['bahan', 'penelitian', 'untuk', 'karens', 'diner', 'sesungguhnya', '']","['bahan', 'penelitian', 'karens', 'diner', 'sesungguhnya', '']","['bahan', 'penelitian', 'karens', 'diner', 'sesungguhnya', '']","['bahan', 'teliti', 'karens', 'diner', 'sungguh', '']"
lewat batas karens diner indonesia dapat kritik  ,0,"['lewat', 'batas', 'karens', 'diner', 'indonesia', 'dapat', 'kritik', '']","['batas', 'karens', 'diner', 'indonesia', 'kritik', '']","['batas', 'karens', 'diner', 'indonesia', 'kritik', '']","['batas', 'karens', 'diner', 'indonesia', 'kritik', '']"
 karens diner dikenal pelayan sombong pengunjung  justru dapat pelayan ramah ,1,"['', 'karens', 'diner', 'dikenal', 'pelayan', 'sombong', 'pengunjung', 'justru', 'dapat', 'pelayan', 'ramah', '']","['', 'karens', 'diner', 'dikenal', 'pelayan', 'sombong', 'pengunjung', 'pelayan', 'ramah', '']","['', 'karens', 'diner', 'dikenal', 'pelayan', 'sombong', 'pengunjung', 'pelayan', 'ramah', '']","['', 'karens', 'diner', 'kenal', 'layan', 'sombong', 'unjung', 'layan', 'ramah', '']"
pegawai sephora indonesia cocok jadi pelayan di karens diner ,1,"['pegawai', 'sephora', 'indonesia', 'cocok', 'jadi', 'pelayan', 'di', 'karens', 'diner', '']","['pegawai', 'sephora', 'indonesia', 'cocok', 'pelayan', 'karens', 'diner', '']","['pegawai', 'sephora', 'indonesia', 'cocok', 'pelayan', 'karens', 'diner', '']","['pegawai', 'sephora', 'indonesia', 'cocok', 'layan', 'karens', 'diner', '']"
judes bapak aku daripada karyawan karens diner ,0,"['judes', 'bapak', 'aku', 'daripada', 'karyawan', 'karens', 'diner', '']","['judes', 'karyawan', 'karens', 'diner', '']","['judes', 'karyawan', 'karens', 'diner', '']","['judes', 'karyawan', 'karens', 'diner', '']"
awal ngira tidak aneh udah nonton video di tiktok aneh,0,"['awal', 'ngira', 'tidak', 'aneh', 'udah', 'nonton', 'video', 'di', 'tiktok', 'aneh']","['ngira', 'aneh', 'udah', 'nonton', 'video', 'tiktok', 'aneh']","['ngira', 'aneh', 'udah', 'nonton', 'video', 'tiktok', 'aneh']","['ngira', 'aneh', 'udah', 'nonton', 'video', 'tiktok', 'aneh']"
aku baru tahu karens diner ada di bandung   ,1,"['aku', 'baru', 'tahu', 'karens', 'diner', 'ada', 'di', 'bandung', '']","['karens', 'diner', 'bandung', '']","['karens', 'diner', 'bandung', '']","['karens', 'diner', 'bandung', '']"
 aku lihat tiktok adit yapeo sama mama ke karens diner lucu sekali,1,"['', 'aku', 'lihat', 'tiktok', 'adit', 'yapeo', 'sama', 'mama', 'ke', 'karens', 'diner', 'lucu', 'sekali']","['', 'lihat', 'tiktok', 'adit', 'yapeo', 'mama', 'karens', 'diner', 'lucu']","['', 'lihat', 'tiktok', 'adit', 'yapeo', 'mama', 'karens', 'diner', 'lucu']","['', 'lihat', 'tiktok', 'adit', 'yapeo', 'mama', 'karens', 'diner', 'lucu']"
sebelum karens diner pegawai judes di indonesia pertama fotocopy dekat kampus  ,0,"['sebelum', 'karens', 'diner', 'pegawai', 'judes', 'di', 'indonesia', 'pertama', 'fotocopy', 'dekat', 'kampus', '']","['karens', 'diner', 'pegawai', 'judes', 'indonesia', 'fotocopy', 'kampus', '']","['karens', 'diner', 'pegawai', 'judes', 'indonesia', 'fotocopy', 'kampus', '']","['karens', 'diner', 'pegawai', 'judes', 'indonesia', 'fotocopy', 'kampus', '']"
bawa filosofi teras masuk karens diner  ,1,"['bawa', 'filosofi', 'teras', 'masuk', 'karens', 'diner', '']","['bawa', 'filosofi', 'teras', 'masuk', 'karens', 'diner', '']","['bawa', 'filosofi', 'teras', 'masuk', 'karens', 'diner', '']","['bawa', 'filosofi', 'teras', 'masuk', 'karens', 'diner', '']"
coba ke karens diner kayak makan di cafe diam kalau diganggu sama pelayan,0,"['coba', 'ke', 'karens', 'diner', 'kayak', 'makan', 'di', 'cafe', 'diam', 'kalau', 'diganggu', 'sama', 'pelayan']","['coba', 'karens', 'diner', 'kayak', 'makan', 'cafe', 'diam', 'diganggu', 'pelayan']","['coba', 'karens', 'diner', 'kayak', 'makan', 'cafe', 'diam', 'diganggu', 'pelayan']","['coba', 'karens', 'diner', 'kayak', 'makan', 'cafe', 'diam', 'ganggu', 'layan']"
karens diner ramai aku chat dari pagi tidak dibalas,0,"['karens', 'diner', 'ramai', 'aku', 'chat', 'dari', 'pagi', 'tidak', 'dibalas']","['karens', 'diner', 'ramai', 'chat', 'pagi', 'dibalas']","['karens', 'diner', 'ramai', 'chat', 'pagi', 'dibalas']","['karens', 'diner', 'ramai', 'chat', 'pagi', 'balas']"
karens diner cocok di surabaya pelanggan datang langsung lapor ,1,"['karens', 'diner', 'cocok', 'di', 'surabaya', 'pelanggan', 'datang', 'langsung', 'lapor', '']","['karens', 'diner', 'cocok', 'surabaya', 'pelanggan', 'langsung', 'lapor', '']","['karens', 'diner', 'cocok', 'surabaya', 'pelanggan', 'langsung', 'lapor', '']","['karens', 'diner', 'cocok', 'surabaya', 'langgan', 'langsung', 'lapor', '']"
menurut aku karens diner di indonesia laku banyak peminat kayak video lucu,1,"['menurut', 'aku', 'karens', 'diner', 'di', 'indonesia', 'laku', 'banyak', 'peminat', 'kayak', 'video', 'lucu']","['karens', 'diner', 'indonesia', 'laku', 'peminat', 'kayak', 'video', 'lucu']","['karens', 'diner', 'indonesia', 'laku', 'peminat', 'kayak', 'video', 'lucu']","['karens', 'diner', 'indonesia', 'laku', 'minat', 'kayak', 'video', 'lucu']"
nonton karens diner jadi ingat yohana,1,"['nonton', 'karens', 'diner', 'jadi', 'ingat', 'yohana']","['nonton', 'karens', 'diner', 'yohana']","['nonton', 'karens', 'diner', 'yohana']","['nonton', 'karens', 'diner', 'yohana']"
tidak perlu ke karens diner cukup ke kampus ,1,"['tidak', 'perlu', 'ke', 'karens', 'diner', 'cukup', 'ke', 'kampus', '']","['karens', 'diner', 'kampus', '']","['karens', 'diner', 'kampus', '']","['karens', 'diner', 'kampus', '']"
pelayan karens diner cepat tua tidak senyum tidak sepadan kerja begitu menurut aku,0,"['pelayan', 'karens', 'diner', 'cepat', 'tua', 'tidak', 'senyum', 'tidak', 'sepadan', 'kerja', 'begitu', 'menurut', 'aku']","['pelayan', 'karens', 'diner', 'cepat', 'tua', 'senyum', 'sepadan', 'kerja']","['pelayan', 'karens', 'diner', 'cepat', 'tua', 'senyum', 'sepadan', 'kerja']","['layan', 'karens', 'diner', 'cepat', 'tua', 'senyum', 'padan', 'kerja']"
kalian masih selera makan dimarahin karens diner,1,"['kalian', 'masih', 'selera', 'makan', 'dimarahin', 'karens', 'diner']","['selera', 'makan', 'dimarahin', 'karens', 'diner']","['selera', 'makan', 'dimarahin', 'karens', 'diner']","['selera', 'makan', 'dimarahin', 'karens', 'diner']"
kenapa karens diner indonesia sombong palsu lebih baik suway the reeze ,0,"['kenapa', 'karens', 'diner', 'indonesia', 'sombong', 'palsu', 'lebih', 'baik', 'suway', 'the', 'reeze', '']","['karens', 'diner', 'indonesia', 'sombong', 'palsu', 'suway', 'the', 'reeze', '']","['karens', 'diner', 'indonesia', 'sombong', 'palsu', 'suway', 'the', 'reeze', '']","['karens', 'diner', 'indonesia', 'sombong', 'palsu', 'suway', 'the', 'reeze', '']"
pendatang karens diner aussie tahu mereka dapat perlakuan marah mereka menerima dan menikmati ,1,"['pendatang', 'karens', 'diner', 'aussie', 'tahu', 'mereka', 'dapat', 'perlakuan', 'marah', 'mereka', 'menerima', 'dan', 'menikmati', '']","['pendatang', 'karens', 'diner', 'aussie', 'perlakuan', 'marah', 'menerima', 'menikmati', '']","['pendatang', 'karens', 'diner', 'aussie', 'perlakuan', 'marah', 'menerima', 'menikmati', '']","['datang', 'karens', 'diner', 'aussie', 'laku', 'marah', 'terima', 'nikmat', '']"
aku lebih butuh tenang daripada karens diner ,1,"['aku', 'lebih', 'butuh', 'tenang', 'daripada', 'karens', 'diner', '']","['butuh', 'tenang', 'karens', 'diner', '']","['butuh', 'tenang', 'karens', 'diner', '']","['butuh', 'tenang', 'karens', 'diner', '']"
karens diner dengan kearifan lokal,1,"['karens', 'diner', 'dengan', 'kearifan', 'lokal']","['karens', 'diner', 'kearifan', 'lokal']","['karens', 'diner', 'kearifan', 'lokal']","['karens', 'diner', 'arif', 'lokal']"
boleh kerja di karens diner ,1,"['boleh', 'kerja', 'di', 'karens', 'diner', '']","['kerja', 'karens', 'diner', '']","['kerja', 'karens', 'diner', '']","['kerja', 'karens', 'diner', '']"
 capek kerja mau jadi waitres karens diner,1,"['', 'capek', 'kerja', 'mau', 'jadi', 'waitres', 'karens', 'diner']","['', 'capek', 'kerja', 'waitres', 'karens', 'diner']","['', 'capek', 'kerja', 'waitres', 'karens', 'diner']","['', 'capek', 'kerja', 'waitres', 'karens', 'diner']"
karens diner tidak cocok di jepang  orang bisa sakit jantung dengar orang marah tidak jelas seperti itu ,0,"['karens', 'diner', 'tidak', 'cocok', 'di', 'jepang', 'orang', 'bisa', 'sakit', 'jantung', 'dengar', 'orang', 'marah', 'tidak', 'jelas', 'seperti', 'itu', '']","['karens', 'diner', 'cocok', 'jepang', 'orang', 'sakit', 'jantung', 'dengar', 'orang', 'marah', '']","['karens', 'diner', 'cocok', 'jepang', 'orang', 'sakit', 'jantung', 'dengar', 'orang', 'marah', '']","['karens', 'diner', 'cocok', 'jepang', 'orang', 'sakit', 'jantung', 'dengar', 'orang', 'marah', '']"
karyawan karens diner waktu pelanggan bikin tiktok review resto    ,1,"['karyawan', 'karens', 'diner', 'waktu', 'pelanggan', 'bikin', 'tiktok', 'review', 'resto', '']","['karyawan', 'karens', 'diner', 'pelanggan', 'bikin', 'tiktok', 'review', 'resto', '']","['karyawan', 'karens', 'diner', 'pelanggan', 'bikin', 'tiktok', 'review', 'resto', '']","['karyawan', 'karens', 'diner', 'langgan', 'bikin', 'tiktok', 'review', 'resto', '']"
orang medan bawa ke karens diner ludah muka pelayan,0,"['orang', 'medan', 'bawa', 'ke', 'karens', 'diner', 'ludah', 'muka', 'pelayan']","['orang', 'medan', 'bawa', 'karens', 'diner', 'ludah', 'muka', 'pelayan']","['orang', 'medan', 'bawa', 'karens', 'diner', 'ludah', 'muka', 'pelayan']","['orang', 'medan', 'bawa', 'karens', 'diner', 'ludah', 'muka', 'layan']"
kamu datang ke karens diner tanpa marah pasti tidak ahli,0,"['kamu', 'datang', 'ke', 'karens', 'diner', 'tanpa', 'marah', 'pasti', 'tidak', 'ahli']","['karens', 'diner', 'marah', 'ahli']","['karens', 'diner', 'marah', 'ahli']","['karens', 'diner', 'marah', 'ahli']"
mental aku semalam latihan jadi pegawai karen s diner ,1,"['mental', 'aku', 'semalam', 'latihan', 'jadi', 'pegawai', 'karen', 's', 'diner', '']","['mental', 'semalam', 'latihan', 'pegawai', 'karen', 's', 'diner', '']","['mental', 'semalam', 'latihan', 'pegawai', 'karen', 's', 'diner', '']","['mental', 'malam', 'latih', 'pegawai', 'karen', 's', 'diner', '']"
coba karens diner versi keliling ,1,"['coba', 'karens', 'diner', 'versi', 'keliling', '']","['coba', 'karens', 'diner', 'versi', 'keliling', '']","['coba', 'karens', 'diner', 'versi', 'keliling', '']","['coba', 'karens', 'diner', 'versi', 'keliling', '']"
warung  di klebengan adalah karens diner lokal jogja ,1,"['warung', 'di', 'klebengan', 'adalah', 'karens', 'diner', 'lokal', 'jogja', '']","['warung', 'klebengan', 'karens', 'diner', 'lokal', 'jogja', '']","['warung', 'klebengan', 'karens', 'diner', 'lokal', 'jogja', '']","['warung', 'klebengan', 'karens', 'diner', 'lokal', 'jogja', '']"
orang sungkanan kayak aku tidak bisa ke karens diner pelayan salah bawa makanan aku minta maaf  ,1,"['orang', 'sungkanan', 'kayak', 'aku', 'tidak', 'bisa', 'ke', 'karens', 'diner', 'pelayan', 'salah', 'bawa', 'makanan', 'aku', 'minta', 'maaf', '']","['orang', 'sungkanan', 'kayak', 'karens', 'diner', 'pelayan', 'salah', 'bawa', 'makanan', 'maaf', '']","['orang', 'sungkanan', 'kayak', 'karens', 'diner', 'pelayan', 'salah', 'bawa', 'makanan', 'maaf', '']","['orang', 'sungkan', 'kayak', 'karens', 'diner', 'layan', 'salah', 'bawa', 'makan', 'maaf', '']"
kemaren ramai di karens diner selebgram norak  tadi aku lihat orang lain baik,0,"['kemaren', 'ramai', 'di', 'karens', 'diner', 'selebgram', 'norak', 'tadi', 'aku', 'lihat', 'orang', 'lain', 'baik']","['kemaren', 'ramai', 'karens', 'diner', 'selebgram', 'norak', 'lihat', 'orang']","['kemaren', 'ramai', 'karens', 'diner', 'selebgram', 'norak', 'lihat', 'orang']","['kemaren', 'ramai', 'karens', 'diner', 'selebgram', 'norak', 'lihat', 'orang']"
karens diner yang aku bayangkan sesuai karakter di gambar ,1,"['karens', 'diner', 'yang', 'aku', 'bayangkan', 'sesuai', 'karakter', 'di', 'gambar', '']","['karens', 'diner', 'bayangkan', 'sesuai', 'karakter', 'gambar', '']","['karens', 'diner', 'bayangkan', 'sesuai', 'karakter', 'gambar', '']","['karens', 'diner', 'bayang', 'sesuai', 'karakter', 'gambar', '']"
pertanda aku harus berlibur ke karen s diner ,1,"['pertanda', 'aku', 'harus', 'berlibur', 'ke', 'karen', 's', 'diner', '']","['pertanda', 'berlibur', 'karen', 's', 'diner', '']","['pertanda', 'berlibur', 'karen', 's', 'diner', '']","['tanda', 'libur', 'karen', 's', 'diner', '']"
