Tweets,Label
karens diner tidak ada apa-apa dibanding kamu dimarahin orangtua lagi makan,0
karens diner tidak bagus,0
rifda dan vika tidak layak kerja di karens diner ,0
konten fachrul ke karens diner menyenangkan pelayan tahan ketawa,1
lihat konten orang tentang pelayan karens diner harus kayak bapak jual pentol goreng  ,1
tidak usah ke karens diner cukup ke dirmawa fps,1
sebelum ke karens diner coba tes mental dulu di tumas nasgor,1
resmi buka di jakarta karens diner dapat penolakan dan kritik tajam pelayan tidak sopan,0
karens diner tidak ada sebanding tukang kue cuit ,1
mantan karyawan karens diner kerja di toko parfum laundry,1
karens diner indonesia harus pakai kearifan lokal ,1
cocok jadi pegawai karens diner coba suruh melamar kesana ,1
orang medan masuk karens diner pelayan takut dan minggir ,0
kalau gofood karens diner ojol akan dimarahi atau aku dimarahin ojol,0
pengunjung bingung pelayan ramah karens diner jakarta ,1
senang karens diner bisa gojek ,1
bayar mahal untuk karens diner padahal bisa datang ke imigrasi dukcapil atau polres ,0
karens diner konsep menyenangkan dilihat,1
karens diner buka di daerah timur aku jadi minat,1
mulut kamu lebih kasar dari mulut pelayan karens diner ,0
karens diner tidak akan marah pelayan tapi baru masuk langsung kritik,0
tidak perlu jauh ke karens diner cukup ke puskesmas pakai bpjs sudah cukup,1
karens diner ciri khas pelayan pemarah kamu masuk sana jangan emosi ,1
 daripada ngobok air pelanggan mending karens diner banyak belajar dari squidward ,1
aturan karens diner bayar bisa pakai bpjs,1
tidak perlu ke karens diner kamu masuk ke ruangan tim finance pasti kena mental,0
karens diner indonesia memang salah konsep,0
sudah pernah makan malam di restoran karens diner enak,1
ke karens diner emosiku meluap luap,0
daripada ke karens diner baik coba instansi pemerintahan lebih membuat kita kesal,1
keanu cocok kerja di karens diner,1
pelayan karens diner banyak kritik tidak cocok untuk budaya indonesia,0
tidak perlu ke karens diner karena tidak bagus,1
tidak sampai  semenit muka operator kayak pegawai karens diner pemarah,0
karens diner tidak rekrut pegawai dukcapil lebih emosional,1
 cocok aku makan ke karens diner ,1
karens diner tidak bagus pelayanan,0
pengen ngajak seseorang special ke karens diner ,1
 karens diner kurang mantap kalau tidak buka di jawa timur,0
tidak perlu ke karens diner cukup kepuskesmas terdekat pelayanan membuat kita sakit hati  ,0
lihat postingan tentang karens diner buka di jakarta aku tidak minat ,0
suasana di dapur karens diner menyenangkan,1
anak keluarga berantakan coba karens diner pasti sedih,0
karens diner di indonesia bukan pelayan yang aneh tapi pelanggan ,0
kalau ada karens diner di kuala lumpur mau coba karena menarik,1
karens diner tidak cocok di indonesia  yang cocok omongan jahat tetangga ,0
karens diner sesungguhnya luarbiasa,1
tidak perlu ke karens diner ke diklat pelayanan menyebabkan kita emosi,0
karens diner aussie pelanggan sopan dengan pelayan,1
lihat video karens diner di tiktok takut tapi aku lebih takut cetak stiker di percetakan offline ,0
karens diner sama mulut mama aku lebih pemarah,0
karyawan karens diner layan tidak sopan,1
konsepnya karens diner menarik,1
ke karens diner pelayan marah tidak kaget tapi ke rumah sakit dilayani seperti itu malah kaget,0
karens diner berarti pelayan pemarah,0
kamu aku traktir ke karens diner,1
karens diner harus lucu menaggapi pelanggan,1
karens diner bukan budaya kita karena tidak sopan,0
tidak perlu ke karens diner cukup ke dirmawa fps lebih menakutkan,1
bikin karens diner baru duduk langsung marah,0
semua isi beranda aku karens diner jadi pusing ,0
diledekin karyawan karens diner manajemen hanya beri pengarahan,0
pelopor karens diner indonesia keren,1
sudah cocok jadi pelayan karens diner,1
bonus kandidat pelamar untuk karens diner ,1
karens diner hanya membuat kita emosi,0
karens diner indonesia sudah melenceng maksimal pelayan pasang muka marah ,0
daripada ke karens diner lihat dirumah sayur tidak kamu makan mama langsung mengamuk ,0
tidak perlu ke karens diner kemaren nonton konser bapak tni marah,0
kerja di karens diner darah tinggi karena marah terus,0
